timestamp x y z vx vy vz x1 y1 z1 vx1 vy1 vz1 x2 y2 z2 vx2 vy2 vz2 x3 y3 z3 vx3 vy3 vz3 dLx dLy dLz taux tauy tauz margin x_sp y_sp z_sp vx_sp vy_sp vz_sp q_sp1x q_sp1y q_sp1z q_sp2x q_sp2y q_sp2z q_sp3x q_sp3y q_sp3z 
0 2.01153 -0.00571668 -0.0529324 -0.0220299 0.0157809 -0.0183074 3.10592 -0.76743 -0.195632 0.0490379 0.0306845 -0.000976324 1.8179 1.28106 -0.184382 0.0011301 0.00284672 -0.00064373 1.18464 -0.970505 -0.192 0.000514984 -9.29832e-05 0.000872612 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.789983 0.457374 0.408333 -0.00110625 -0.912832 0.408334 0.791089 0.455457 0.408334 
49975 2.01173 -0.00588227 -0.0527801 0.00354767 -0.00144605 -0.00408679 3.10552 -0.767689 -0.195623 0.000143051 0.000193119 0.000139475 1.81791 1.28105 -0.18438 0.0022459 0.000529289 -0.000103712 1.18464 -0.970496 -0.192016 -0.00115871 0.0131893 -0.0026983 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.789983 0.457374 0.408333 -0.00110625 -0.912832 0.408334 0.791089 0.455457 0.408334 
99988 2.01171 -0.00589125 -0.0527573 0.0260353 -0.0183774 0.017847 3.10551 -0.767689 -0.195627 0.00546455 0.00110149 -0.00701666 1.81788 1.28106 -0.184413 0.00185966 0.00127316 -0.000613332 1.18465 -0.970534 -0.192023 -0.00100136 0.00595808 -0.000302196 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.789983 0.457374 0.408333 -0.00110625 -0.912832 0.408334 0.791089 0.455457 0.408334 
149980 2.01175 -0.00585758 -0.0527377 -0.00351906 0.00019446 0.000930279 3.10546 -0.767701 -0.19565 -0.00291824 -0.00139475 -0.00251055 1.81789 1.28104 -0.184383 -0.0151062 0.00058651 -0.0141799 1.18458 -0.970353 -0.192115 -0.0161934 0.0239038 -0.0125563 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.789983 0.457374 0.408333 -0.00110625 -0.912832 0.408334 0.791089 0.455457 0.408334 
200020 2.01152 -0.00571829 -0.0529229 -0.0253487 0.0190127 -0.0194988 3.10506 -0.767917 -0.195755 -0.0514412 -0.0304556 -0.0192583 1.81762 1.28143 -0.184116 0.00130177 -0.00226021 0.0030309 1.18458 -0.970331 -0.192102 -0.000357628 0.00442743 0.000532866 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.789983 0.457374 0.408333 -0.00110625 -0.912832 0.408334 0.791089 0.455457 0.408334 
250011 2.01173 -0.0058807 -0.0527056 0.00286102 -0.00203021 0.00584766 3.10506 -0.768035 -0.195602 -0.00683784 -0.00748158 0.0130355 1.81739 1.28141 -0.184102 -0.0272369 -0.00602245 0.0334704 1.18455 -0.970428 -0.19212 -0.00183105 -0.0216079 0.00882268 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.789983 0.457374 0.408333 -0.00110625 -0.912832 0.408334 0.791089 0.455457 0.408334 
300024 2.01168 -0.00573215 -0.0526784 -0.0312138 0.0157524 -0.0140454 3.10507 -0.768078 -0.195616 0.00180244 0.006423 -0.0044167 1.81773 1.28119 -0.184344 0.0143194 -0.0291967 -0.022316 1.18477 -0.970438 -0.192089 0.035634 -0.0180888 -0.0159663 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.789983 0.457374 0.408333 -0.00110625 -0.912832 0.408334 0.791089 0.455457 0.408334 
350013 2.01152 -0.00573558 -0.0529379 -0.00145912 0.00690082 -0.0120641 3.10526 -0.767893 -0.195751 0.00660896 0.0242972 -0.0248051 1.81806 1.28159 -0.184386 0.0657463 0.0186539 -0.0195819 1.1847 -0.970455 -0.192209 -0.000214577 0.0106287 -0.0159878 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.789983 0.457374 0.408333 -0.00110625 -0.912832 0.408334 0.791089 0.455457 0.408334 
400019 2.01177 -0.00588102 -0.0527377 0.0295258 -0.0167562 0.0238381 3.10519 -0.767546 -0.195858 0.0121307 0.0454831 -0.0527608 1.81769 1.28143 -0.184254 -0.00997066 0.0039196 -0.00161111 1.1845 -0.970266 -0.192152 -0.0178957 0.00532866 0.0203598 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.789983 0.457374 0.408333 -0.00110625 -0.912832 0.408334 0.791089 0.455457 0.408334 
450016 2.01151 -0.00574207 -0.052925 -0.0239182 0.000323094 -0.0266062 3.10532 -0.767714 -0.195838 0.019083 0.00163794 -0.0525981 1.81794 1.28119 -0.184468 0.033803 0.00101566 -0.0042057 1.18468 -0.97043 -0.192227 0.0107718 0.00399113 0.00856698 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.789983 0.457374 0.408333 -0.00110625 -0.912832 0.408334 0.791089 0.455457 0.408334 
